school_name,link,address,category,rating,last_report_date,urn,is_religious
Charlton Park Academy,/provider/25/138547,"Charlton Park Road, Charlton, London, SE7 8HX",Special School,Good,20 July 2023,138547,False
Greenwich Waldorf School,/provider/27/132066,"90 Mycenae Road, Woodlands, Greenwich, London, SE3 7SE",Independent School,Requires Improvement,20 July 2020,132066,False
Invicta Primary School,/provider/21/100134,"Invicta Road, Greenwich, London, SE3 7HE",Primary,Good,10 June 2024,100134,False
Charlton Manor Primary School,/provider/21/100164,"Indus Road, Charlton, London, SE7 7EF",Primary,Good,27 April 2023,100164,False
St Peter's Catholic Primary School,/provider/21/100175,"Crescent Road, London, SE18 7BN",Primary,Outstanding,19 May 2023,100175,True
Cherry Orchard Primary School,/provider/21/100115,"Rectory Field Crescent, Marlborough Lane, London, SE7 7DG",Primary,Good,09 May 2019,100115,False
Ferry Lane Primary School,/provider/21/102127,"Jarrow Road, Ferry Lane Estate, Tottenham, London, N17 9PP",Primary,Good,09 November 2023,102127,False
Harris Academy Tottenham,/provider/28/140935,"Ashley Road, Tottenham, London, N17 9LN",Other schools,Outstanding,03 March 2023,140935,False
Harris Primary Academy Coleraine Park,/provider/21/138446,"Glendish Road, Tottenham, London, N17 9XT",Primary,Outstanding,03 September 2014,138446,False
Welbourne Primary School,/provider/21/102124,"Stainby Road, Tottenham, London, N15 4EA",Primary,Requires Improvement,18 September 2023,102124,False
Earlsmead Primary School,/provider/21/102091,"Broad Lane, Tottenham, London, N15 4PW",Primary,Good,10 November 2022,102091,False
Hyland House School,/provider/27/103111,"Holcombe Road, Tottenham, London, London, N17 9AB",Independent School,Requires Improvement,23 May 2024,103111,False
The Mulberry Primary School,/provider/21/133707,"Parkhurst Road, Tottenham, London, N17 9RB",Primary,Good,21 September 2022,133707,False
Holy Trinity CofE Primary School,/provider/21/139240,"Somerset Road, Tottenham, London, N17 9EJ",Primary,Outstanding,25 November 2022,139240,True
Lea Valley Primary School,/provider/21/102125,"Somerford Grove, London, N17 0PT",Primary,Good,07 July 2023,102125,False
Assunnah Primary School,/provider/27/135988,"565 A, High Road, Tottenham, N17 6SB",Independent School,Requires Improvement,25 January 2024,135988,False
St Paul's and All Hallows CofE Infant School,/provider/21/139176,"Park Lane, London, N17 0HH",Primary,Good,08 December 2021,139176,True
Bruce Grove Primary School,/provider/21/131731,"Sperling Road, Tottenham, London, N17 6UH",Primary,Good,20 May 2024,131731,False
Vale School,/provider/25/102176,"Trulock Road, Tottenham, London, N17 0PG",Special School,Good,11 July 2019,102176,False
Ray Lodge Primary School,/provider/21/145045,"Snakes Lane East, Woodford Green, Essex, IG8 7JQ",Primary,,23 November 2021,145045,False
Roding Primary School,/provider/21/102830,"Roding Lane North, Woodford Bridge, Woodford Green, Essex, IG8 8NP",Primary,Good,27 March 2019,102830,False
Gilbert Colvin Primary School,/provider/21/102805,"Strafford Avenue, Ilford, Essex, IG5 0TL",Primary,Good,30 January 2024,102805,False
St John's RC School (Essex),/provider/25/115466,"Turpins Lane, Woodford Bridge, Essex, IG8 8AX",Special School,Good,07 February 2022,115466,True
Luxborough Court School,/provider/27/149212,"Luxborough Lane, Chigwell, Essex, IG7 5AA",Independent School,Good,18 December 2023,149212,False
Mossford Green Primary School,/provider/21/102811,"Fairlop Road, Barkingside, Ilford, Essex, IG6 2EW",Primary,Good,14 September 2023,102811,False
Clore Tikva School,/provider/21/131682,"115 Fullwell Avenue, Barkingside, Clore Tikva School, Ilford, Essex, IG6 2JN",Primary,Good,12 May 2020,131682,True
Fairlop Primary School,/provider/21/102802,"Colvin Gardens, Hainault, Ilford, Essex, IG6 2LH",Primary,Good,22 May 2019,102802,False
St Joan of Arc RC Primary School,/provider/21/100449,"Northolme Road, Highbury Park, London, N5 2UX",Primary,Good,06 March 2024,100449,True
St John's Highbury Vale CofE Primary School,/provider/21/100440,"Conewood Street, London, N5 1DL",Primary,Good,10 November 2023,100440,True
Gillespie Primary School,/provider/21/100405,"Gillespie Road, London, N5 1LH",Primary,Outstanding,14 December 2023,100405,False
Ambler Primary School and Children's Centre,/provider/21/100397,"Blackstock Road, Finsbury Park, London, N4 2DR",Primary,Outstanding,05 May 2023,100397,False
Pakeman Primary School,/provider/21/100418,"Hornsey Road, Holloway, London, N7 6DU",Primary,Good,08 March 2022,100418,False
Holy Trinity CofE Primary School,/provider/21/101317,"Eagans Close, East Finchley, London, N2 8GA",Primary,Outstanding,08 May 2015,101317.0,True
Martin Primary School,/provider/21/135226,"Plane Tree Walk, East Finchley, London, N2 9JP",Primary,Good,27 November 2023,135226.0,False
Oak Lodge School,/provider/25/143865,"Heath View, East Finchley, London, N2 0QY",Special School,,31 October 2019,143865.0,False
Kerem School,/provider/27/101381,"Norrice Lea, Hampstead Garden Suburb, London, N2 0RE",Independent School,,19 November 2008,101381.0,False
Eden Primary,/provider/21/136808,"79 Creighton Avenue, Muswell Hill, London, N10 1NR",Primary,Good,09 May 2024,136808.0,True
Blanche Nevile School,/provider/25/102175,"Burlington Road, Muswell Hill, London, N10 1NJ",Special School,Good,29 March 2023,102175.0,False
Coldfall Primary School,/provider/21/102097,"Coldfall Avenue, Muswell Hill, London, N10 1HS",Primary,Outstanding,17 November 2014,102097.0,False
Tetherdown Primary School,/provider/21/102098,"Grand Avenue, London, N10 3BP",Primary,Good,11 November 2022,102098.0,False
Tudor Primary School,/provider/21/101299,"Queen's Road, Finchley, London, N3 2AG",Primary,Requires Improvement,28 April 2023,101299.0,False
Our Lady of Muswell Catholic Primary School,/provider/21/102142,"Pages Lane, Muswell Hill, London, N10 1PS",Primary,Outstanding,15 July 2024,102142.0,True
Annemount School,/provider/27/101375,"18 Holne Chase, Hampstead Garden Suburb, London, N2 0QN",Independent School,,03 April 2009,101375.0,False
Manorside Primary School,/provider/21/101290,"Squires Lane, Finchley, London, N3 2AB",Primary,Good,13 June 2024,101290.0,False
Brookland Junior School,/provider/21/101262,"Hill Top, Hampstead Garden Suburb, London, NW11 6EJ",Primary,Good,02 February 2023,101262.0,False
