school_name,link,address,category,rating,last_report_date,urn,is_religious
Convent of Jesus and Mary RC Infant School,/provider/21/101544,"21 Park Avenue, London, NW2 5AN",Primary,Outstanding,25 January 2024,101544,True
Childs Hill Primary School,/provider/21/147706,"Dersingham Road, Cricklewood, London, NW2 1SL",Primary,,07 February 2020,147706,False
Wykeham Primary School,/provider/21/101518,"Aboyne Road, London, NW10 0EX",Primary,Outstanding,23 April 2015,101518,False
The Mulberry House School,/provider/27/100087,"7 Minster Road, London, NW2 3SD",Independent School,,21 October 2006,100087,False
Woodfield School,/provider/25/140796,"Glenwood Avenue, Kingsbury, London, NW9 7LY",Special School,Good,17 October 2023,140796,False
Beis Medrash Elyon,/provider/27/140492,"233 West Hendon Broadway, West Hendon, London, NW9 7DH",Independent School,Requires Improvement,14 May 2024,140492,False
Beis Soroh Schneirer,/provider/27/131026,"Arbiter House, Wilberforce Road, West Hendon, NW9 6AX",Independent School,Good,21 September 2022,131026,False
St Margaret Clitherow RC Primary School,/provider/21/146179,"Quainton Street, London, NW10 0BG",Primary,,24 June 2024,146179,True
St Mary's CofE Primary School,/provider/21/101537,"Garnet Road, Willesden, London, NW10 9JA",Primary,Good,01 December 2022,101537,True
North West London Jewish Day School,/provider/21/141154,"180 Willesden Lane, London, NW6 7PP",Primary,Good,03 February 2023,141154,True
Donnington Primary School,/provider/21/101520,"Uffington Road, London, NW10 3TL",Primary,Good,26 June 2023,101520,False
Leopold Primary School,/provider/21/101504,"Hawkshead Road, Willesden, London, NW10 9UR",Primary,Good,28 July 2022,101504,False
Brondesbury College London,/provider/27/131059,"8 Brondesbury Park, London, NW6 7BT",Independent School,Outstanding,23 April 2018,131059,False
Newfield Primary School,/provider/21/101522,"Longstone Avenue, Willesden, London, NW10 3UD",Primary,Good,05 July 2019,101522,False
Mitchell Brook Primary School,/provider/21/101524,"Bridge Road, Brent, London, NW10 9BX",Primary,Good,19 January 2024,101524,False
West Hampstead Primary School,/provider/21/100009,"Dornfell Street, West Hampstead, London, NW6 1QL",Primary,Good,19 May 2022,100009,False
St Joseph's Roman Catholic Primary School,/provider/21/101555,"Goodson Road, Willesden, London, NW10 9LS",Primary,Outstanding,13 March 2024,101555,True
Phoenix Arch School,/provider/25/101581,"Drury Way, London, NW10 0NQ",Special School,,28 March 2022,101581,False
The Avenue School,/provider/25/143731,"Christchurch Avenue, London, NW6 7BH",Special School,Outstanding,14 November 2023,143731,False
Malorees Infant School,/provider/21/101507,"Christchurch Avenue, London, NW6 7PB",Primary,Good,24 January 2023,101507,False
Malorees Junior School,/provider/21/101554,"Christchurch Avenue, London, NW6 7PB",Primary,Good,16 December 2022,101554,False
Roundwood School and Community Centre,/provider/22/148250,"Longstone Avenue, Harlesden, Brent, London, NW10 3UN",Pupil Referral Unit,Requires Improvement,14 December 2023,148250,False
The Hyde School,/provider/21/139817,"Hyde Crescent, London, NW9 7EY",Primary,Outstanding,08 June 2015,139817,False
Emmanuel Church of England Primary School,/provider/21/100030,"152-158 Mill Lane, West Hampstead, London, NW6 1TF",Primary,Good,12 February 2019,100030,True
Chalkhill Primary School,/provider/21/101526,"Barnhill Road, Wembley, HA9 9YP",Primary,Good,28 April 2023,101526,False
Al-Zahra School,/provider/27/147025,"134 Salusbury Road, NW6 6PF",Independent School,Good,26 November 2021,147025,False
Al-Sadiq School,/provider/27/101576,"126 Chevening Road, London, NW6 6TP",Independent School,Requires Improvement,27 June 2019,101576,False
Brentfield Primary School,/provider/21/101496,"41-43 Meadow Garth, London, NW10 0SL",Primary,Good,18 May 2022,101496,False
Fryent Primary School,/provider/21/101531,"Church Lane, Kingsbury, London, NW9 8JD",Primary,Good,14 March 2019,101531,False
Islamia Primary School,/provider/21/101574,"129 Salusbury Road, London, NW6 6PE",Primary,Good,29 April 2022,101574,True
Islamia School for Girls',/provider/27/101575,"129 Salusbury Road, London, NW6 6PE",Independent School,Good,25 September 2023,101575,False
Manor School,/provider/25/144053,"Chamberlayne Road, Kensal Rise, London, NW10 3NT",Special School,,26 February 2020,144053,False
Christ Church CofE Primary School,/provider/21/101533,"Clarence Road, Kilburn, Christ Church Ce Primary School, Brondesbury, NW6 7TE",Primary,Good,22 May 2024,101533,True
John Keble CofE Primary School,/provider/21/101534,"Crownhill Road, London, NW10 4DR",Primary,Good,27 July 2023,101534,True
Kingsgate Primary School,/provider/21/132245,"Kingsgate Road, London, NW6 4LB",Primary,Outstanding,12 December 2023,132245,False
Lycee International de Londres,/provider/27/142329,"Old Brent Hall, 54 Forty Lane, Wembley, London, HA9 9LY",Independent School,Good,23 January 2020,142329,False
Oliver Goldsmith Primary School,/provider/21/101528,"Coniston Gardens, Kingsbury, London, NW9 0BD",Primary,Good,19 January 2024,101528,False
Salusbury Primary School,/provider/21/101527,"Salusbury Road, Kilburn, London, NW6 6RG",Primary,Good,01 November 2019,101527,False
Oakington Manor Primary School,/provider/21/142718,"Oakington Manor Drive, Wembley, HA9 6NF",Primary,Good,08 December 2023,142718,False
Furness Primary School,/provider/21/142703,"Furness Road, Harlesden, London, NW10 5YT",Primary,Good,01 February 2022,142703,False
Princess Frederica CofE Primary School,/provider/21/101535,"College Road, London, NW10 5TP",Primary,Good,08 May 2024,101535,True
Harlesden Primary School,/provider/21/101499,"Acton Lane, London, NW10 8UT",Primary,Good,21 July 2022,101499,False
Bnos Beis Yaakov Primary School,/provider/27/136231,"Kingsbury Synagogue, Kingsbury Green, London, NW9 8XR",Independent School,Good,13 January 2023,136231,False
Kilburn Grange School,/provider/21/141751,"Priory Park Road, Kilburn, Brent, London, NW6 7UJ",Primary,Good,18 June 2024,141751,False
The Stonebridge School,/provider/21/101521,"Shakespeare Avenue, London, NW10 8NG",Primary,Requires Improvement,10 October 2023,101521,False
Our Lady of Lourdes Catholic Primary School,/provider/21/101545,"Wesley Road Hillside, Harlesden, London, NW10 8PP",Primary,Good,25 February 2020,101545,True
St Eugene de Mazenod Roman Catholic Primary School,/provider/21/100047,"Mazenod Avenue, London, NW6 4LS",Primary,Outstanding,27 November 2023,100047,True
Kenmont Primary School,/provider/21/100331,"Kenmont Primary School, Valliere Road, London, NW10 6AL",Primary,Good,21 March 2023,100331,False
Ark Franklin Primary Academy,/provider/21/139830,"Harvist Road, London, NW6 6HJ",Primary,Good,01 March 2020,139830,False
St Robert Southwell Catholic Primary School,/provider/21/101543,"Slough Lane, Kingsbury, London, NW9 8YD",Primary,Outstanding,01 July 2019,101543,True
St Mary's Kilburn Church of England Primary School,/provider/21/100042,"Quex Road, Kilburn, London, NW6 4PG",Primary,Outstanding,06 October 2023,100042,True
Ark Academy,/provider/28/135600,"Forty Avenue, Wembley, Middlesex, HA9 9JR",Other schools,Outstanding,03 May 2022,135600,False
The St Marylebone Church of England Bridge School,/provider/25/139600,"Herries Street, London, W10 4LE",Special School,Good,06 November 2019,139600,True
Wilberforce Primary,/provider/21/139824,"Beethoven Street, London, W10 4LB",Primary,Good,06 December 2023,139824,False
St Mary's RC Primary School,/provider/21/131418,"Canterbury Road, London, NW6 5ST",Primary,Good,21 January 2020,131418,True
The School of the Islamic Republic of Iran,/provider/27/133385,"100 Carlton Vale, London, NW6 5HE",Independent School,Inadequate,13 November 2023,133385,False
The Kilburn Park School Foundation,/provider/21/101556,"Malvern Road, London, Middlesex, NW6 5RG",Primary,Good,25 November 2019,101556,False
Carlton Vale Infant School,/provider/21/101498,"Malvern Place, Kilburn, London, NW6 5PX",Primary,Good,19 September 2023,101498,False
Maida Vale School,/provider/27/147957,"18 Saltram Crescent, London, W9 3HR",Independent School,Good,25 January 2022,147957,False
St Luke's CofE Primary School,/provider/21/101134,"Fernhead Road, London, W9 3EJ",Primary,Outstanding,06 December 2022,101134,True
Essendine Primary School,/provider/21/101111,"Essendine Road, London, W9 2LR",Primary,Good,25 May 2023,101111,False
Beis Yaakov Primary School,/provider/21/133365,"373 Edgware Road, London, NW9 6NQ",Primary,Good,12 June 2019,133365,True
Woodcroft Primary School,/provider/21/134677,"Goldbeaters Grove, Edgware, Middlesex, HA8 0QF",Primary,Good,13 June 2024,134677,False
Goldbeaters Primary School,/provider/21/101283,"Thirleby Road, Burnt Oak, Edgware, HA8 0HA",Primary,Outstanding,27 April 2023,101283,False
The Annunciation Catholic Infant School,/provider/21/101330,"Thirleby Road, Edgware, HA8 0HQ",Primary,Good,09 December 2022,101330,True
The Village School,/provider/25/146212,"Grove Park, Kingsbury, London, NW9 0JY",Special School,,19 September 2023,146212,False
St Martin's School,/provider/27/101383,"22 Goodwyn Avenue, Mill Hill, London, NW7 3RG",Independent School,Good,28 February 2020,101383,True
Barnfield Primary School,/provider/21/101258,"Silkstream Road, Edgware, HA8 0DA",Primary,Outstanding,18 May 2020,101258,False
Brent River College,/provider/22/133660,"364b Stag Lane, Kingsbury, London, NW9 9AE",Pupil Referral Unit,Good,19 May 2023,133660,False
The Annunciation RC Junior School,/provider/21/101342,"The Meads, Burnt Oak, Edgware, HA8 9HQ",Primary,Outstanding,01 December 2023,101342,True
Menorah Foundation School,/provider/21/131359,"2-8 Abbots Road, Edgware, Middlesex, HA8 0QS",Primary,Good,09 July 2019,131359,True
Menorah Grammar School,/provider/27/101387,"Abbots Road, Edgware, Middlesex, HA8 0QS",Independent School,Inadequate,15 July 2024,101387,True
Mathilda Marks-Kennedy Jewish Primary School,/provider/21/101376,"68 Hale Lane, Mill Hill, London, NW7 3RT",Primary,Good,31 January 2022,101376,True
Shalom Noam Primary School,/provider/21/146803,"East Road, Edgware, Middlesex, HA8 0AJ",Primary,Good,26 July 2023,146803,True
Deansbrook Infant School,/provider/21/101274,"Hale Drive, Mill Hill, London, NW7 3ED",Primary,Good,10 July 2024,101274,False
Deansbrook Junior School,/provider/21/139489,"Hale Drive, Mill Hill, London, NW7 3ED",Primary,Good,28 June 2023,139489,False
Watling Park School,/provider/21/142114,"Pavilion Way, Burnt Oak, Barnet, HA8 9YA",Primary,Good,19 September 2023,142114,False
Kingsbury Green Primary School,/provider/21/101503,"Old Kenton Lane, Kingsbury, London, NW9 9ND",Primary,Good,28 June 2024,101503,False
Roe Green Infant School,/provider/21/101512,"Princes Avenue, Kingsbury, London, NW9 9JL",Primary,Good,04 May 2023,101512,False
Roe Green Junior School,/provider/21/101511,"Princes Avenue, Kingsbury, London, NW9 9JL",Primary,Good,31 March 2022,101511,False
Southover Partnership School,/provider/27/135373,"288 Kingsbury Road, Roe Green Park, Kingsbury, London, NW9 9HA",Independent School,Good,14 February 2022,135373,False
Northgate School,/provider/22/133749,"Edgware Community Hospital, Burnt Oak Broadway, Edgware, Middlesex, HA8 0AD",Pupil Referral Unit,Outstanding,22 March 2023,133749,False
Queen's Park Primary School,/provider/21/101120,"Droop Street, London, W10 4DQ",Primary,Good,27 January 2023,101120,False
Queen Elizabeth II Jubilee School,/provider/25/101184,"Kennet Road, London, W9 3LG",Special School,Good,19 January 2023,101184,False
Bales College,/provider/27/101181,"2J Kilburn Lane, London, W10 4AA",Independent School,Inadequate,06 September 2016,101181,False
St Peter's CofE School,/provider/21/101139,"Chippenham Mews, Paddington, London, W9 2AN",Primary,Outstanding,27 July 2023,101139,True
Ark Brunel Primary Academy,/provider/21/139645,"Middle Row, London, W10 5AT",Primary,Good,05 July 2024,139645,False
Saint Mary's Catholic Primary School,/provider/21/100499,"East Row, North Kensington, London, W10 5AW",Primary,Good,03 May 2022,100499,True
St Thomas' CofE Primary School,/provider/21/100492,"Appleford Road, North Kensington, London, W10 5EF",Primary,Outstanding,04 December 2014,100492,True
Our Lady of Dolours Catholic Primary,/provider/21/101124,"19 Cirencester Street, Paddington, London, W2 5SR",Primary,Good,30 June 2023,101124,True
Barlby Primary School,/provider/21/100478,"Treverton Street, North Kensington, London, W10 6DW",Primary,Good,30 November 2021,100478,False
Kensington Queensmill School,/provider/25/148562,"Barlby Road, London, W10 6BH",Special School,Good,17 November 2023,148562,False
Bevington Primary School,/provider/21/100479,"Bevington Road, London, W10 5TW",Primary,Requires Improvement,13 May 2024,100479,False
St Charles Catholic Primary School,/provider/21/100505,"83 St Charles Square, London, W10 6EB",Primary,Good,19 December 2023,100505,True
The Lloyd Williamson School Foundation,/provider/27/132788,"77 St. Charles Square, Ladbroke Grove, London, W10 6EB",Independent School,Good,18 March 2024,132788,False
Instituto Espanol Canada Blanch,/provider/27/100532,"317 Portobello Road, London, W10 5SZ",Independent School,Inadequate,07 March 2019,100532,False
St. Mary of the Angels Catholic Primary School,/provider/21/101137,"Shrewsbury Road, Bayswater, London, W2 5PR",Primary,Good,09 December 2021,101137,True
La Petite Ecole Francaise,/provider/27/100545,"73 St Charles Square, London, W10 6EJ",Independent School,Requires Improvement,28 April 2023,100545,False
Chepstow House School,/provider/27/136057,"108a Lancaster Road, Notting Hill, London, W11 1QS",Independent School,Outstanding,15 June 2018,136057,False
Courtland School,/provider/21/101271,"Courtland Avenue, Mill Hill, London, NW7 3BG",Primary,Outstanding,29 March 2023,101271,False
Northway School,/provider/25/101395,"The Fairway, Mill Hill, London, NW7 3HS",Special School,Outstanding,01 May 2024,101395,False
Fairway Primary School and Children's Centre,/provider/21/101278,"The Fairway, London, NW7 3HS",Primary,Good,28 November 2022,101278,False
Beit Shvidler Primary School,/provider/21/136402,"261 Hale Lane, Edgware, Middlesex, HA8 8NX",Primary,Good,15 April 2019,136402,True
Holland House School,/provider/27/101380,"1 Broadhurst Avenue, Edgware, Middlesex, HA8 8TP",Independent School,Outstanding,12 January 2012,101380,False
Edgware Primary School,/provider/21/101277,"Heming Road, Edgware, HA8 9AB",Primary,Good,10 February 2023,101277,False
Edgware Jewish Girls - Beis Chinuch,/provider/27/136014,"296 Hale Lane, Edgware, Middlesex, HA8 8NP",Independent School,Requires Improvement,14 July 2022,136014,False
Rosh Pinah Primary School,/provider/21/101340,"Glengall Road, Edgware, HA8 8TE",Primary,Good,13 July 2021,101340,True
Tashbar of Edgware,/provider/27/130826,"45-47 Mowbray Road, Edgware, Middlesex, HA8 8JL",Independent School,Requires Improvement,19 January 2023,130826,False
Broadfields Primary School,/provider/21/140236,"Roseberry Drive, Edgware, Middlesex, HA8 8JP",Primary,Good,10 July 2019,140236,False
Krishna Avanti Primary School,/provider/21/138688,"Camrose Avenue, Edgware, Middlesex, HA8 6ES",Primary,Good,19 July 2023,138688,True
Stag Lane Primary School,/provider/21/102209,"Collier Drive, Edgware, Middlesex, HA8 5RU",Primary,Good,08 January 2019,102209,False
Hallfield Primary School,/provider/21/101116,"Hallfield Estate, London, W2 6JJ",Primary,Good,27 September 2023,101116,False
College Park School,/provider/25/101182,"Garway Road, London, W2 4PH",Special School,Good,02 December 2022,101182,False
Kensington Park School,/provider/27/100536,"40-44 Bark Place, Bayswater, London, W2 4AT",Independent School,Good,16 November 2018,100536,False
Sinai Jewish Primary School,/provider/21/101549,"Shakespeare Drive, Kenton, Harrow, Middlesex, HA3 9UD",Primary,Good,25 February 2019,101549,True
St Bernadette's Catholic Primary School,/provider/21/142558,"Clifton Road, Kenton, Harrow, HA3 9NS",Primary,,17 January 2016,142558,True
Pathways School,/provider/27/149145,"All Saints Parish Hall, Shrewsbury Avenue, Kenton, Harrow, HA3 9LX",Independent School,Good,07 July 2023,149145,False
Glebe Primary School,/provider/21/102224,"Glebe Avenue, Kenton, Harrow, HA3 9LF",Primary,Requires Improvement,15 January 2024,102224,False
Uxendon Manor Primary School,/provider/21/101502,"Vista Way, Kenton, Harrow, HA3 0UX",Primary,Good,04 May 2023,101502,False
Preston Manor School,/provider/28/139319,"Carlton Avenue East, Wembley, Middlesex, HA9 8NA",Other schools,,21 September 2022,139319,False
Camrose Primary With Nursery,/provider/21/102188,"St David's Drive, Edgware, Middlesex, HA8 6JH",Primary,Good,25 May 2023,102188,False
Mount Stewart Infant School,/provider/21/101501,"Carlisle Gardens, Mount Stewart Avenue, Kenton, Harrow, HA3 0JX",Primary,Good,11 June 2019,101501,False
Mount Stewart Junior School,/provider/21/101500,"Carlisle Gardens, Mount Stewart Avenue, Kenton, Harrow, HA3 0JX",Primary,Good,07 May 2024,101500,False
Ashley College,/provider/22/134846,"Ashley Gardens, Wembley, Middlesex, HA9 8NP",Pupil Referral Unit,Outstanding,14 May 2024,134846,False
Woodlands School,/provider/25/133316,"Bransgrove Road, Edgware, Middlesex, HA8 6JP",Special School,Outstanding,01 December 2023,133316,False
Kenmore Park Junior School,/provider/21/102193,"Moorhouse Road, Kenton, Harrow, HA3 9JA",Primary,Good,29 March 2023,102193,False
Kenmore Park Infant and Nursery School,/provider/21/102212,"Moorhouse Road, Kenton, Harrow, HA3 9JA",Primary,Good,19 January 2024,102212,False
Preston Park Primary School,/provider/21/101510,"College Road, Preston Park Primary School, Wembley, HA9 8RJ",Primary,Good,13 March 2024,101510,False
Wembley Primary School,/provider/21/130095,"East Lane, Wembley, HA9 7NW",Primary,Good,22 October 2019,130095,False
Advance Education,/provider/27/143640,"Unit 5, Unimix House, Abbey Road, Park Royal, London, NW10 7TR",Independent School,Inadequate,25 January 2024,143640,False
West Twyford Primary School,/provider/21/101875,"Twyford Abbey Road, Park Royal, London, NW10 7DN",Primary,Good,16 November 2023,101875,False
John Perryn Primary School,/provider/21/101889,"Long Drive, Acton, London, W3 7PD",Primary,Good,03 July 2023,101889,False
Old Oak Primary School,/provider/21/100335,"Mellitus Street, East Acton, London, W12 0AS",Primary,Good,02 August 2023,100335,False
Lyon Park Primary School,/provider/21/101506,"Vincent Road, Wembley, HA0 4HH",Primary,Good,13 February 2023,101506,False
Elsley Primary School,/provider/21/101519,"Tokyngton Avenue, Wembley, HA9 6HT",Primary,Good,21 July 2022,101519,False
St Joseph's Catholic Junior School,/provider/21/101539,"Chatsworth Avenue, Wembley, Middlesex, HA9 6BE",Primary,Good,06 December 2023,101539,True
St Joseph's Catholic Infant School,/provider/21/101546,"Waverley Avenue, Wembley, HA9 6TA",Primary,Good,21 November 2023,101546,True
North West London Independent Special School,/provider/27/135794,"85 Old Oak Common Lane, East Acton, Ealing, London, Middlesex, W3 7DD",Independent School,Good,24 May 2022,135794,False
The Corner School,/provider/27/145849,"Douglas Avenue, Wembley, Middlesex, HA0 4DT",Independent School,Good,29 September 2023,145849,False
Holy Family Catholic Primary School,/provider/21/137569,"Vale Lane, Acton, London, W3 0DY",Primary,Outstanding,04 July 2024,137569,True
Woodlane High School,/provider/25/100379,"Du Cane Road, Hammersmith, London, W12 0TN",Special School,Outstanding,19 June 2019,100379,False
Ark Conway Primary Academy,/provider/21/137331,"60 Hemlock Road, Hammersmith, London, W12 0QT",Primary,Outstanding,25 November 2020,137331,False
West Acton Primary School,/provider/21/101876,"Noel Road, Acton, London, W3 0JL",Primary,Good,26 June 2023,101876,False
Ark Bentworth Primary Academy,/provider/21/138680,"Bentworth Road, Westway, London, W12 7AJ",Primary,Good,12 February 2019,138680,False
Park Lane Primary School,/provider/21/101509,"Park Lane, Wembley, HA9 7RY",Primary,Good,17 November 2021,101509,False
East Acton Primary School,/provider/21/101868,"East Acton Lane, Acton, London, W3 7HA",Primary,Good,13 May 2022,101868,False
Wormholt Park Primary School,/provider/21/100341,"Bryony Road, London, W12 0SR",Primary,Good,04 October 2023,100341,False
Cambridge School,/provider/25/100382,"61, Bryony Rd, White City, London, W12 0SP",Special School,Good,06 June 2019,100382,False
Greek Primary School of London,/provider/27/131788,"3 Pierrepoint Road, Acton, London, W3 9JR",Independent School,Good,24 January 2020,131788,False
St Vincent's Catholic Primary School,/provider/21/101926,"1 Pierrepoint Road, Acton, London, W3 9JR",Primary,Outstanding,23 January 2024,101926,True
St Augustine's Priory,/provider/27/101946,"Hillcrest Road, Ealing, London, W5 2JL",Independent School,,03 August 2006,101946,True
St John XXIII Catholic Primary School,/provider/21/149641,"1 India Way, London, W12 7QT",Primary,,05 April 2023,149641,True
Ark White City Primary Academy,/provider/21/139820,"3 Edcity Walk, Edcity, London, W12 7PT",Primary,Good,30 June 2021,139820,False
Derwentwater Primary School,/provider/21/101895,"Shakespeare Road, Acton, London, Middlesex, W3 6SA",Primary,Good,25 July 2019,101895,False
The Japanese School,/provider/27/101958,"87 Creffield Road, Acton, London, W3 9PU",Independent School,Inadequate,29 April 2024,101958,False
Oxford Gardens Primary School,/provider/21/100485,"Oxford Gardens, London, W10 6NF",Primary,Good,09 May 2023,100485,False
Barham Primary School,/provider/21/101515,"Danethorpe Road, Wembley, HA0 4RQ",Primary,Good,19 December 2019,101515,False
Jack Tizard School,/provider/25/100381,"South Africa Road, London, W12 7PA",Special School,Outstanding,19 January 2024,100381,False
Queensmill School,/provider/25/147793,"1 Askham Road, Shepherds Bush, London, W12 0NW",Special School,Good,27 April 2023,147793,False
Ark Byron Primary Academy,/provider/21/142110,"The Vale, Acton, London, W3 7JT",Primary,Good,27 March 2024,142110,False
Southwark Inclusive Learning Service (Sils),/provider/22/135260,"2 Davey Street, Peckham, London, SE15 6LF",Pupil Referral Unit,Good,29 February 2024,135260.0,False
St Joseph's Catholic Infants School,/provider/21/100854,"Pitman Street, Camberwell, London, SE5 0TS",Primary,Good,31 January 2024,100854.0,True
St Joseph's Catholic Junior School,/provider/21/100853,"Pitman Street, Camberwell, London, SE5 0TS",Primary,Good,29 September 2022,100853.0,True
Tuke School,/provider/25/100880,"Daniel Gardens, Peckham, London, SE15 6ER",Special School,Outstanding,22 September 2021,100880.0,False
Angel Oak Academy,/provider/21/141666,"Burcher Gale Grove, Peckham, London, SE15 6FL",Primary,Outstanding,20 March 2024,141666.0,False
St George's Church of England Primary School,/provider/21/100827,"Coleman Road, Camberwell, London, SE5 7TF",Primary,Good,29 September 2023,100827.0,True
Brunswick Park Primary School,/provider/21/131843,"Picton Street, Camberwell, London, SE5 7QH",Primary,Good,11 December 2020,131843.0,False
Spa School Camberwell,/provider/25/143745,"150 Southampton Way, London, SE5 7EW",Special School,Good,13 March 2023,143745.0,False
St John the Divine Church of England Primary School,/provider/21/100614,"Warham Street, Camberwell New Road, London, SE5 0SX",Primary,Good,19 January 2024,100614.0,True
Comber Grove School,/provider/21/100783,"Comber Grove, Camberwell, London, SE5 0LQ",Primary,Good,07 May 2019,100783.0,False
Highshore School,/provider/25/100872,"135 Farmers Road, Camberwell, London, SE5 0TW",Special School,Good,28 April 2023,100872.0,False
Haymerle School,/provider/25/100878,"Haymerle Road, London, SE15 6SY",Special School,Good,26 January 2022,100878.0,False
PhoenixPlace,/provider/27/141701,"7a Badsworth Road, London, SE5 0JG",Independent School,Requires Improvement,02 August 2023,141701.0,False
Alexander McLeod Primary School,/provider/21/131841,"Fuchsia Street, London, SE2 0QS",Primary,Good,04 December 2019,131841.0,False
Boxgrove Primary School,/provider/21/149684,"Boxgrove Road, Abbey Wood, Greenwich, SE2 9JP",Primary,,05 October 2023,149684.0,False
Horizons Academy Bexley,/provider/22/144407,"Lensbury Way, Abbey Wood, SE2 9TA",Pupil Referral Unit,,25 May 2022,144407.0,False
Pulse and Water College,/provider/27/141315,"138 Eynsham Drive, Abbey Wood, London, Greenwich, SE2 9PT",Independent School,Good,27 September 2023,141315.0,False
Bedonwell Infant and Nursery School,/provider/21/143866,"Bedonwell Road, Belvedere, Kent, DA17 5PF",Primary,Requires Improvement,19 March 2024,143866.0,False
Bedonwell Junior School,/provider/21/143867,"Bedonwell Road, Belvedere, Kent, DA17 5PF",Primary,,25 April 2024,143867.0,False
Parkway Primary School,/provider/21/101437,"Alsike Road, Erith, Kent, DA18 4DP",Primary,Good,05 November 2018,101437.0,False
De Lucy Primary School,/provider/21/100152,"Cookhill Road, Abbey Wood, London, SE2 9PD",Primary,Good,15 January 2024,100152.0,False
St Thomas A Becket Roman Catholic Primary School,/provider/21/100177,"Mottisfont Road, Abbey Wood, London, SE2 9LY",Primary,Good,03 July 2023,100177.0,True
St John Fisher Catholic Primary School,/provider/21/101460,"Kale Road, Thamesmead, Erith, Kent, DA18 4BA",Primary,Good,05 December 2019,101460.0,True
Willow Bank Primary School,/provider/21/136932,"Seacourt Road, Thamesmead, London, SE2 9XB",Primary,Requires Improvement,20 June 2023,136932.0,False
Hillsgrove Primary School,/provider/21/142295,"Sidmouth Road, Welling, Kent, DA16 1DR",Primary,Good,10 November 2023,142295.0,False
Northwood Primary School,/provider/21/144540,"Northwood Place, Erith, Kent, DA18 4HN",Primary,,22 January 2020,144540.0,False
Harris Garrard Academy,/provider/28/145140,"Yarnton Way, Thamesmead, Erith, Kent, DA18 4DW",Other schools,Good,26 January 2022,145140.0,False
Gallions Mount Primary School,/provider/21/100126,"Purrett Road, Plumstead, London, SE18 1JR",Primary,Good,10 July 2023,100126.0,False
Bannockburn Primary School,/provider/21/150068,"Plumstead High Street, London, SE18 1HE",Primary,,07 November 2023,150068.0,False
St Augustine of Canterbury CofE Primary School,/provider/21/139213,"St Augustine's Road, Belvedere, Kent, DA17 5HP",Primary,Good,11 July 2019,139213.0,True
St Margaret Clitherow Catholic Primary School,/provider/21/100180,"Cole Close, Thamesmead, London, SE28 8GB",Primary,Good,16 January 2023,100180.0,True
Break Through School,/provider/27/140039,"121 Nuxley Road, Belvedere, DA17 5JX",Independent School,Good,02 December 2022,140039.0,False
St Michael's East Wickham Church of England  Primary School,/provider/21/144889,"Wrotham Road, Welling, Kent, DA16 1LS",Primary,Good,30 January 2023,144889.0,True
Windrush Thamesmead Primary School,/provider/21/143079,"2 Bentham Road, Thamesmead, London, SE28 8AR",Primary,,06 September 2016,143079.0,False
The Anchor Sendfriendly Centre,/provider/27/149908,"3 North Road, Block E, Plumstead, London, SE18 1BS",Independent School,,15 November 2023,149908.0,False
Rockliffe Manor Primary School,/provider/21/143593,"Bassant Road, London, SE18 2NP",Primary,,14 January 2020,143593.0,False
Jubilee Primary School,/provider/21/145071,"Crowden Way, Thamesmead, London, SE28 8JB",Primary,Good,11 May 2022,145071.0,False
Lessness Heath Primary School,/provider/21/141866,"Erith Road, Belvedere, Kent, DA17 6HB",Primary,Good,17 October 2023,141866.0,False
Conway Primary School,/provider/21/132800,"Gallosson Road, Plumstead, London, SE18 1QY",Primary,Good,10 November 2022,132800.0,False
Hawksmoor School,/provider/21/148614,"Bentham Road, Thamesmead, London, SE28 8AS",Primary,Good,29 November 2023,148614.0,False
Brampton Primary Academy,/provider/21/141047,"Brampton Road, Bexleyheath, Kent, DA7 4SL",Primary,Good,03 July 2024,141047.0,False
Timbercroft Primary School,/provider/21/143209,"Timbercroft Lane, Plumstead, London, SE18 2SG",Primary,,19 November 2020,143209.0,False
East Wickham Primary Academy,/provider/21/136599,"Wickham Street, Welling, Kent, DA16 3BP",Primary,Good,09 January 2020,136599.0,False
Cornerstone School,/provider/25/148582,"Halt Robin Road, Belvedere, Kent, DA17 6DW",Special School,Good,15 July 2024,148582.0,False
St Patrick's Catholic Primary School,/provider/21/100173,"St Patrick's Catholic Primary School,Griffin Road, Plumstead, London, SE18 7QG",Primary,Good,13 March 2023,100173.0,True
Belmont Academy,/provider/21/146870,"Belmont Road, Erith, Kent, DA8 1LE",Primary,,19 September 2023,146870.0,False
Barrington Primary School,/provider/21/143868,"Barrington Road, Bexleyheath, Kent, DA7 4UN",Primary,,14 January 2020,143868.0,False
Linton Mead Primary School,/provider/21/100159,"Central Way, Thamesmead, London, SE28 8DT",Primary,Good,17 January 2023,100159.0,False
St Thomas More Catholic Primary School,/provider/21/149373,"Sheldon Road, Bexleyheath, Kent, DA7 4PH",Primary,,13 November 2023,149373.0,True
Greenslade Primary School,/provider/21/100162,"Erindale, Plumstead Common, London, SE18 2QQ",Primary,Good,12 June 2024,100162.0,False
Foster's Primary School,/provider/21/101451,"Westbrooke Road, Welling, Kent, DA16 1PN",Primary,Good,27 March 2024,101451.0,False
Bishop John Robinson Church of England Primary School,/provider/21/100181,"Hoveton Road, Thamesmead, London, SE28 8LW",Primary,Good,10 June 2024,100181.0,True
